S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
16,Nangli PS,0181/2024,22-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,21-12-2024,20:00,"Near Halekuppa Gate, NH-75 Road.",RURAL,Rural,Two Wheeler,Two Wheeler.,36,,,,,,,,31,,,,GOOD
17,Nangli PS,0182/2024,22-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,22-12-2024,01:45,V Agrahara Village Mulbagal Tlauk,RURAL,Rural,Pedestrian,Two Wheeler.,,,,,63,,,,29,,,,GOOD
18,Masti PS,0212/2024,15-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,08-12-2024,07:15,K.P WAY BRIGDE MASTHI MALUR  ROAD ,RURAL,SH,T/W,T/W,,,,,26,,,,,,,,GOOD
19,Masti PS,0216/2024,21-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,20-12-2024,12:40,KRISHNAPURA MAIN ROAD ,RURAL,SH,T/W,BOLEROO ,55,,,,,,,,,,,,GOOD
20,Vemagal PS,0253/2024,01-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b),125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,17-11-2024,00:00,TALGUNDA CROSS,Rural,S.H ROAD,-,TWO WHEELER,,,,,,,74,,40,,Yes,Yes,Good
21,Vemagal PS,0256/2024,03-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b),125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-12-2024,07-00,"NEAR NARASAPURA BRIDGE,",Rural,N.H-75,CONTAINER LORRY,TEMPO TRAVELER AMBULENCE,,,,,,,,,20,,Yes,Yes,Good
22,Vemagal PS,0260/2024,11-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,10-12-2024,18-30,"NEAR BETTAHOSAPURA, NAYAR PETRLO BUNK, ",Rural,OTHERS,TWO WHEELER,TWO WHEELER,66,,,,25,,,,35,,Yes,Yes,Good
23,Vemagal PS,0263/2024,13-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b),125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,11-12-2024,10:30,"NEAR THIRUMALA LAY, VEMAGAL-KOLAR ROAD",Rural,S.H ROAD,TWO WHEELER,TWO WHEELER,-,,,,40,,,,31,,Yes,Yes,Good
24,Vemagal PS,0273/2024,25-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,24-12-2024,17:15,"NEAR RAMASANDRA GATTE,",Rural,N.H-75,TWO WHEELER,CONTAINER LORRY,66,,,,25,,,,35,,Yes,Yes,Good
25,Mulbagal Rural PS,0287/2024,04-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12-04-2024,08:20,V GUTTAHALLI,Rural,NH75,T/W,T/W,62,,,,,,,,41,,Yes,Yes,Good
26,Mulbagal Rural PS,0294/2024,13-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,12-12-2024,15:30,Hanumanahalli gate,Rural,NH75,T/W,Bus PVT,,,,,24,,,,49,,Yes,Yes,Good
27,Mulbagal Rural PS,0305/2024,29-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,29-12-2024,16:00,Kappalamadagu ,Rural,NH75,T/W,Car,51,,,,,,,,44,,Yes,Yes,Good
28,Malur PS,0334/2024,02-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-12-2024,01:35,Indian osses bank chikkathirupathi village malur taluk,Urben,VR,T/W,Lorry,,,,,28,,        ,,40,,WITH DL  ,WITH INSURANCE ,GOOD
29,Malur PS,0335/2024,04-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,04-12-2024,06:16,Panchaythi near Araleri village malur taluk,RURAL,VR,T/W,T/W,,,,,30,,,,32,,WITH DL  ,WITH INSURANCE ,GOOD
30,Malur PS,0344/2024,10-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,08-12-2024,10:00,Bengalore-channai express near Anepura village malur taluk,RURAL,VR,T/W,,,,,,,34,,,34,,WITH DL  ,WITH INSURANCE ,GOOD
31,Malur PS,0349/2024,13-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12-12-2024,22:00,Doddashivara gate malur taluk,RURAL,DR,,T/W,,,,,,,40,,38,,WITH DL  ,WITH INSURANCE ,CLOUDY
32,Malur PS,0350/2024,16-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,15-12-2024,20:00,Chikkaiggalur brick factory malur taluk,RURAL,VR,,Lorry,55,,,,,,55,,43,,WITH DL  ,WITH INSURANCE ,CLOUDY
33,Malur PS,0352/2024,17-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16-12-2024,19:00,Doddakadathur malur-kolar road malur taluk,RURAL,DR,,T/W,,,,,37,,,,37,,WITH DL  ,WITH INSURANCE ,GOOD
34,Malur PS,0356/2024,20-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a),106(1)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,20-12-2024,12:20,Malur-Hosakote petrol bank malur town,Urben,SH,t/w,Lorry,55,,,,54,,,,38,,WITH DL  ,WITH INSURANCE ,GOOD
35,Malur PS,0358/2024,21-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,20-12-2024,21:15,Malur -Hosur road chudagondanahalli malur taluk,RURAL,NH,T/W,Lorry,34,,,,,,,,35,,WITH DL  ,WITH INSURANCE ,CLOUDY
36,Malur PS,0359/2024,21-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,20-12-2024,15:30,Hosakote-Malur road relince Malur town,Urben,SH,T/W,Lorry,,,,,35,,,,42,,WITH DL  ,WITH INSURANCE ,GOOD
37,Malur PS,0364/2024,26-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,26-12-2024,14:00,Kumar petrol bank masthi circle malur town,Urben,SH,t/w,Lorry,,,22,,,,,,35,,WITH DL  ,WITH INSURANCE ,GOOD
38,Malur PS,0366/2024,27-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,25-12-2024,10:00,ITC Factory Hoskote road malur taluk,RURAL,SH,,T/W,,,,,,50,,,,,WITH DL  ,WITH INSURANCE ,GOOD
39,Malur PS,0367/2024,28-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,25-12-2024,10:55,"Thoranahalli Malur Road, Near Sapthagiri Bar malur taluk",RURAL,SH,,AUTO,,,,,,22,,,40,,WITH DL  ,WITH INSURANCE ,GOOD
40,Srinivasapura PS,0363/2024,01-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,01-12-2024,12:#0,"SHIVAPURA CIRCLE, RING ROAD, SRINIVASAPURA TALUK",RURAL,SH,TWO WHEELER,INNOVA CAR,55,,,,,,,,,,YES,YES,"GOOD,"
41,Srinivasapura PS,0365/2024,02-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,29-11-2024,15:40,"IN BETWEEN  YACCANAHALLI- KANAGAMAKALAHALLI VILAGE , SRINIVASAPURA TALUK",RURAL,VILLAGE,TWO WHEELER,TWO WHEELER,,,32,,,,,,,,YES,NO,"GOOD,"
42,Srinivasapura PS,0376/2024,18-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,18-12-2024,11:00,INBETWEEN SHIGEHALLI-RONUR CROSS,RURAL,SH,TWO WHEELER,TWO WHEELER,,,45,,,,,,,,NO,YES,"GOOD,"
43,Srinivasapura PS,0377/2024,19-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,18-12-2024,21:45,"ANJINEYYA SWAMY TEMPLE , YADARUR - LAKSHMISAGR GATE",RURAL,VILLAGE,TWO WHEELER,,19,,,,,,,,,,YES,YES,"GOOD,"
44,Srinivasapura PS,0382/2024,25-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,25-12-2024,18:30,"KALLURU COLONY GATE , SRINIVASAPURA TALUK",RURAL,NH,-,TWO WHEELER,,,,,43,,,8,,,YES,YES,"GOOD,"
45,Srinivasapura PS,0384/2024,28-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,27-12-2024,16:30,"M G ROAD , SRINIVASAPURA TOWN",URBAN,SH,TWO WHEELER,CYCLE,,,,,,,,,,,YES,YES,"GOOD,"
46,Srinivasapura PS,0385/2024,30-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,25-12-2024,00:00,"NEAR HOOHALLI GATE , SRINIVASAPURA TALUK",RURAL,SH,TWO WHEELER,TWO WHEELER,,,35,,,,,,,,YES,YES,"GOOD,"
47,Kolar Rural PS,0471/2024,04-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,03-12-2024,00:45,KENDATTI GATE,RURAL,NH,LORRY,UNKNOWN,46,,,,,,,,,,UNKNOWN,UNKNOWN,GOOD
48,Kolar Rural PS,0475/2024,06-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-12-2024,00:50,MADERAHALLI GATE ,RURAL,NH,KSRTC,AUTO,,,,,32,,,,,,YES,YES,GOOD
49,Kolar Rural PS,0476/2024,07-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-12-2024,06:00,MADERAHALLI GATE ,RURAL,NH,AUTO,KSRTC,,,,,50,,,,,,YES,YES,GOOD
50,Kolar Rural PS,0486/2024,14-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13-12-2024,08:30,DODDAHASALA NEAR,RURAL,SH,CAR,MINI BUS ,,,,,,30,,,"39,39",,YES,YES,GOOD
51,Kolar Rural PS,0489/2024,16-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b),125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14-12-2024,04:00,THOTLY GATE NEAR,RURAL,SH,CAR,SELF,,,,".10,08.",40,,,,40,,YES,YES,GOOD
52,Kolar Rural PS,0492/2024,18-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-12-2024,05:30,BELAGANAHALLI DAIRY FRONT ,RURAL,NH,CAR,T/W,,,42,,,,,,,,YES,YES,GOOD
53,Kolar Rural PS,0493/2024,18-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,18-12-2024,01:30,SOLAR CITY,RURAL,SH,CAR,T/W,39,,,,,,,,33,,YES,YES,GOOD
54,Kolar Rural PS,0497/2024,21-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,19-12-2024,06:15,MUDUVADI NEAR,RURAL,SH,,T/W,,,,,,,,,28,,YES,YES,GOOD
55,Kolar Rural PS,0503/2024,24-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,106(1) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,23-12-2024,06:45,SETTIKOTHANUR VILLAGE,RURAL,OTHER,T/W,T/W,43,,,,,,,,,,,,GOOD
56,Kolar Rural PS,0506/2024,26-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,25-12-2024,06:30,HOGARI GATE ,RURAL,SH,KSRTC,T/W,32,,,,,,,,,,,,GOOD
57,Kolar Rural PS,0508/2024,28-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(b)",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,28-12-2024,12:45,SEEPURA GATE,RURAL,SH,AMBULENCE,AUTO,,,"49, 24","40, 35, 03",,,,,23,,YES,YES,GOOD
58,Kolar Rural PS,0509/2024,30-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 185",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,30-12-2024,00:30,VADAGUR GATE ,RURAL,NH,CAR,CAR,,,,,,,,,28,,YES,YES,GOOD
59,Kolar Rural PS,0511/2024,31-12-2024,"THE BHARATIYA NYAYA SANHITA (BNS), 2023 U/s: 281,125(a)",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,29-12-2024,03:00,ARABHIKOTHANUR VILLAGE,Urban,NH,T/W,T/W,,,,,64,58,,,,,,,GOOD
1,Gownapalli PS,0005/2023,16-01-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,11-01-2023,17:30,SONNAPALLI VILLAGE  SRINIVASAPURA ,RURAL,VR,T/W,SCHOOL VAN ,,,40,,32,,,,,38,,,
2,Gownapalli PS,0011/2023,03-02-2023,"IPC 1860 U/s: 279,304A",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,01-02-2023,19:30,GOWNIPALLI VILLAGE KABARESTAN ,RURAL,VR,BYCYCLE ,T/W,45,,,,45,,,,40,,,,
3,Gownapalli PS,0015/2023,23-02-2023,"IPC 1860 U/s: 283,337,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,21-02-2023,18:30,GATTU VENKATARAVANAPPA  Land near kodipalli village ,RURAL,VR,T/W,Tractor,32,,,,,,,,45,,,,
4,Gownapalli PS,0022/2023,17-03-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,17-03-2023,03:30,NEAR GUNDEDU CROSS ,RURAL ,SH,CAR ,SELF,64,60,,,,,,,,,,,
5,Gownapalli PS,0025/2023,01-04-2023,"IPC 1860 U/s: 337,279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16-04-2023,04:00,CHAKAPALLI CRASS NEAR JOI PETROL PUMP   ,RURAL ,SH,T/W,LORRY,,,26,32,"25, 39, 41, ","22, 29",,,49,,,,
6,Gownapalli PS,0030/2023,16-04-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,28-03-2023,18:00,KOPPAVARIPALLI VILLAGE ,RURAL ,VR,AUTO,Car,,60,,,,60,,,35,,,,
7,Gownapalli PS,0035/2023,15-05-2023,"IPC 1860 U/s: 338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,06-05-2023,13:30,YAGUVA PAPISHETTIPALLI VILLAGE    ,RURAL,VR,PEDESTRIAN,Tractor,,,13,,"25, 29",,13,,45,,,,
8,Gownapalli PS,0037/2023,19-05-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,18-05-2023,13:30,Tadigol Cross,RURAL ,SH,T/W ,CAR ,,,32,,31,,,,38,,,,
9,Gownapalli PS,0038/2023,02-06-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,01-06-2023,20:30,Kashettipalli Cross ,RURAL ,SH,T/W,CAR ,32,,,,,,,,45,,,,
10,Gownapalli PS,0046/2023,19-06-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,18-06-2023,16:35,Thadigol cross,RURAL ,SH,PEDESTRIAN,CAR ,,,55,,36,,55,,38,,,,
11,Gownapalli PS,0050/2023,05-07-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,03-07-2023,21:30,Near Kodipalli cross,RURAL ,SH,T/W,T/W,,,26,,29,,,,35,,,,
12,Gownapalli PS,0051/2023,10-07-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,10-07-2023,15:35,In Front of Prerana school near Thippanna land,RURAL ,SH,T/W,CAR ,43 & 45 ,,,,,,,,,,,,
13,Gownapalli PS,0065/2023,07-09-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,07-09-2023,13:00,"Near Complainant  House, Tadigol Cross",RURAL ,VR,PEDESTRIAN,CAR ,,12,,,,,12,,35,,,,
14,Gownapalli PS,0066/2023,08-09-2023,"IPC 1860 U/s: 337,279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181(3)",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,07-09-2023,20:00,"Near Nanjappa Land, Pathagownipalli Village",RURAL ,SH ,PEDESTRIAN,T/W,,,55,40,,,,40,45,,,,
15,Gownapalli PS,0067/2023,19-09-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,18-09-2023,22:45,In between Nagireddygaripalli-Bacchireddygaripalli,RURAL ,VR,PEDESTRIAN,Tractor,32,,,,,,32,,38,,,,
16,Gownapalli PS,0072/2023,02-10-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,01-10-2023,16:20,Near Kondamari Village,RURAL,SH,SELF,CAR,,,,,,42,,,,,,,
17,Gownapalli PS,0073/2023,05-10-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,04-10-2023,15:15,Near Avaganapalli village,RURAL,SH,TEMPO ,,,,,41,"26, 29",,,,,,,,
18,Gownapalli PS,0088/2023,27-11-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,26-11-2023,21:40, Near Tadigol Cross,rural ,SH ,JEEP,CAR ,,,,,,,,,32,,,,
1,Kolar Rural PS,0001/2023,01-01-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-01-2023,02:00,"Near Kondarajanahalli Gate, Chenai-Bangalore NH-75 Road",RURAL,NH,SELF,T/W,,,,,,,,,33,,,,
2,Kolar Rural PS,0002/2023,01-01-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,181",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,01-01-2023,12:00,"Near Chinnapura Village, Vakkaleri Road",RURAL,VR,SELF,T/W,21,,,,,,,,,,,,
3,Kolar Rural PS,0004/2023,01-01-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,31-12-2022,21:00,"Near Maderahalli Village, Hosakote-Kolar NH-75 Road",RURAL,NH,SELF,T/W,29,,,,40,,,,,,,,
4,Kolar Rural PS,0005/2023,01-01-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,01-01-2023,01:00,"A Little bit distance from Patna Village, Kolar-Bethamangala Road",RURAL,SH,SELF,CAR,,,"35,40",,"35,25,30",,,,,34,,,
5,Kolar Rural PS,0009/2023,05-01-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-01-2023,08:30,"Near Bethani Village, Kolar-Bangalore NH-75 Road, Kolar Tq",RURAL,NH,SELF,MINI BUS,,,,,,,,,,28,,,
6,Kolar Rural PS,0013/2023,07-01-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,07-01-2023,02:00,"Muduvadi Tank bund, Muduvadi Village",RURAL,SH,SELF,CAR,,,,,,,,,,,,,
7,Kolar Rural PS,0018/2023,12-01-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181(3),196",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12-01-2023,05:00,"In between Holuru-Marenahalli Village Road, Kolar taluk",RURAL,VR,PEDESTRIAN,T/W,,,50,,33,,50,,,22,,,
8,Kolar Rural PS,0028/2023,17-01-2023,"IPC 1860 U/s: 338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,3",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-01-2023,12:50,"Near Kalahasthipura Gate, NH-75 Road",RURAL,NH,T/W,T/W,,,28,,28,,,,,,,,
9,Kolar Rural PS,0044/2023,23-01-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,23-01-2023,07:20,"Near Shettimadamangal Village, Kolar-Chinthamani Road",RURAL,SH,PEDESTRIAN,T/W,44,,,,,,44,,,,,,
10,Kolar Rural PS,0046/2023,24-01-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,23-01-2023,13:00,"NH 75 Bengaluru-Chennai Road,Thambihalli Gate Near",RURAL,NH,CAR,TEMPO,,,32,,"34, 32",,,,,26,,,
11,Kolar Rural PS,0047/2023,24-01-2023,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22-01-2023,18:45,"kendatti gate, bangalore -kolar high way",RURAL,NH,TATA ACE,EICHER,,,24,,28,,,,,,,,
12,Kolar Rural PS,0052/2023,27-01-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,25-01-2023,10:30,"Near Hasala Gate, Kolar-Bangarapete Main Road",RURAL,SH,CAR,BUS,,,23,,21,,,,,35,,,
13,Kolar Rural PS,0054/2023,28-01-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,28-01-2023,07:30,"Near Arabhikothanuru Gate, Bengaluru-Chennai NH-75 Road",RURAL,NH,T/W,NOT KNOWN,64,,,,,,,,UNKNOWN,,,,
14,Kolar Rural PS,0057/2023,30-01-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,29-01-2023,20:15,"Bengalore-Channai NH75 Highwy Road, Chunchadenahalli gate",RURAL,NH,CAR,BUS,,,,,34,,,,,38,,,
15,Kolar Rural PS,0060/2023,01-02-2023,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,31-01-2023,14:30,"Near Uppukunte darga, Kolar - Chinathamani Road, Uppukunte Village",RURAL,SH,T/W,CAR,,,34,,32,26,,,38,,,,
16,Kolar Rural PS,0062/2023,01-02-2023,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,29-01-2023,22:00,"Near the Soil road, Veerapur Village to Srinivasapur, Kolar",RURAL,VR,T/W,SELF,35,,,,33,,,,,,,,
17,Kolar Rural PS,0069/2023,06-02-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,05-02-2023,14:00,"Near Shreya Form, Kolar-Bethamangala Road, Kolar",RURAL,SH,EICHER,EICHER,,,32,,19,21,,,59,,,,
